Price,Close,High,Low,Open,Volume
Ticker,SYY,SYY,SYY,SYY,SYY
Date,,,,,
2019-01-01,53.906002044677734,53.93133203577945,51.482976641582255,52.47920374234416,63076000
2019-02-01,57.390472412109375,57.679333249539376,53.75418285330401,54.119511047774715,80155200
2019-03-01,56.719295501708984,57.65385416720735,55.427899924494284,57.577386799720514,53503600
2019-04-01,59.78634262084961,61.17118801605067,56.0481020568156,57.05063011968928,45664100
2019-05-01,58.814544677734375,64.73702091099317,58.31886691317462,60.3784901140927,56733300
2019-06-01,60.43831253051758,63.06197765808635,58.088123664708185,58.669261535970406,44697000
2019-07-01,58.60090255737305,62.50648966537231,58.019764569915864,60.64343022207042,46543300
2019-08-01,63.87223815917969,64.57686905529228,57.38447304220194,58.862480911117814,77398600
2019-09-01,68.22896575927734,68.3406732905343,63.42543701937154,63.58870742012413,59277300
2019-10-01,68.63282012939453,68.65859827829627,66.46736383780177,68.36643062676879,52913400
2019-11-01,69.56217956542969,70.72802478842151,67.7659107214015,69.08720241337015,44776600
2019-12-01,73.87149047851562,74.25147219248548,68.96629894273211,69.51035827882347,38268200
2020-01-01,70.93525695800781,73.51738829896708,70.33074680750447,73.45693728391674,48728400
2020-02-01,57.862674713134766,70.50304055363408,56.88165290576023,70.50304055363408,58181500
2020-03-01,39.6140022277832,63.6011794849583,22.572080513100598,58.262012961964835,206223400
2020-04-01,48.851200103759766,51.21258846050548,32.29544457698045,36.44523442882932,128565300
2020-05-01,48.407806396484375,50.68076191316612,38.763102353338546,47.828597822814785,100686700
2020-06-01,47.96900939941406,57.052056572159174,45.4678823599872,49.26784057670731,102263500
2020-07-01,46.38056945800781,49.45213043794835,43.90576916484601,47.7408348558844,60041200
2020-08-01,53.2163200378418,55.32232103246479,45.04008644193706,46.65940405243665,71426700
2020-09-01,55.05685806274414,61.51643382524033,52.13677133721066,52.703093498735115,64589600
2020-10-01,48.942378997802734,61.29521505523976,47.650460475747316,55.14534385240341,55745900
2020-11-01,63.5422248840332,68.39100948302789,49.272185003690986,50.056547818254906,65316100
2020-12-01,66.189453125,69.64777374097721,62.677648662222985,63.65809971724508,62721700
2021-01-01,63.73831558227539,71.26996928199539,63.0609102605698,66.08248548734021,50003200
2021-02-01,71.39857482910156,73.34426523116548,62.72817282386877,64.88008409406623,45951500
2021-03-01,70.60060119628906,75.28997624424065,68.5114597702799,72.13383673964972,53763300
2021-04-01,76.40176391601562,76.771460822152,70.12586672801852,70.91937460761051,35038100
2021-05-01,73.03837585449219,78.20516769191462,70.7209856858934,76.64520923002266,50019900
2021-06-01,70.10783386230469,74.04830237079585,66.90676602740679,73.72368676975591,50968800
2021-07-01,66.90676879882812,70.23407540756685,62.127717815763255,69.94552895907799,51886700
2021-08-01,72.25787353515625,73.24670989458173,64.67374478080409,67.6946970290223,50171500
2021-09-01,71.214599609375,75.07016710415009,67.60397100417762,72.39395243513167,46165200
2021-10-01,70.17060852050781,76.50329576920892,69.28549051567308,71.98646493512994,43818500
2021-11-01,63.910919189453125,74.63269661178313,63.792297775269155,70.45348297549103,51697000
2021-12-01,71.67622375488281,72.0868422233502,62.095061180893225,65.20665416814089,62059200
2022-01-01,71.31124114990234,74.45020845385751,67.49702484857127,71.42986258696328,52418000
2022-02-01,79.946533203125,80.35957920241145,68.65672827018439,72.51178224674022,52052700
2022-03-01,74.94416046142578,81.89244290134755,69.05143095813239,79.61611998581158,59843000
2022-04-01,78.90647888183594,84.49122171387035,75.05715200371355,75.51870134732056,47218500
2022-05-01,77.70643615722656,83.76196038662106,69.46316583075343,79.74648310593803,56697000
2022-06-01,78.1956787109375,80.60496653254263,71.80783832199445,77.65105393727508,43552100
2022-07-01,78.8238754272461,82.48189256110142,78.35965944367383,78.55462930676933,47899600
2022-08-01,76.3356704711914,81.04281982958487,75.53721848600352,78.4153559035218,48133100
2022-09-01,65.64942169189453,79.01884305770446,65.55657991447802,76.19640910732663,43946500
2022-10-01,80.36506652832031,81.15423934469281,65.9279540990209,66.4014492887961,58473400
2022-11-01,80.84332275390625,81.29187723967345,74.89057538055334,78.72201095735447,53398100
2022-12-01,71.44227600097656,81.49746335315015,70.6199214009973,81.24515235951668,44412900
2023-01-01,72.38611602783203,76.98383823959729,68.85371952050886,71.44227233191606,52025600
2023-02-01,70.13359069824219,74.03669529263946,70.13359069824219,73.24666586166757,44018500
2023-03-01,72.6353530883789,73.23727694727886,67.73530568703961,69.6069196370707,51498500
2023-04-01,72.17448425292969,74.31883844336356,68.77925439291042,72.74819393069451,41190300
2023-05-01,66.20574951171875,73.71127684177412,65.51482861978738,72.76480432711902,61333500
2023-06-01,70.228271484375,70.32292453123009,66.36666835454288,66.54649325733754,50464500
2023-07-01,72.2253189086914,72.51873031325357,68.44889540750499,69.98218355778965,48427900
2023-08-01,66.3685531616211,74.56337646980857,66.21608781600564,73.29603554668442,55920700
2023-09-01,62.93817138671875,68.27433561752747,61.766117510744465,66.58772203526804,49558100
2023-10-01,63.357425689697266,63.929156174874095,59.307661422242845,62.900044209534826,61712700
2023-11-01,69.30293273925781,69.53340364090401,62.600228198604285,63.723746370485884,58795600
2023-12-01,70.22479248046875,72.69269487377102,69.15888839947976,69.5237969874645,61656300
2024-01-01,77.71493530273438,78.23348387625934,70.00394020498467,70.06155427105229,72906300
2024-02-01,78.27531433105469,80.13141483647023,75.75217471021354,78.101304447704,60836200
2024-03-01,78.47832489013672,79.59005429433486,76.39987554759026,78.12063585777223,51045200
2024-04-01,71.84661865234375,78.62332683724624,71.69194731225289,78.18829848129852,59928200
2024-05-01,70.83956146240234,74.81833224839782,69.3122600295055,72.17230513415295,71544200
2024-06-01,69.44845581054688,72.88245169696273,68.23245118097167,70.5185384001924,79176100
2024-07-01,74.56539916992188,74.96424479586938,67.15263289250757,69.76947701277547,64182400
2024-08-01,76.40579223632812,76.59198291011545,72.59383275817434,75.44544939025299,54542400
2024-09-01,76.49398040771484,78.05208617412106,72.21165487183416,76.356789645432,82092600
2024-10-01,73.44636535644531,77.02314129422702,71.03571827317099,76.43517986743684,73287900
