Price,Close,High,Low,Open,Volume
Ticker,MCD,MCD,MCD,MCD,MCD
Date,,,,,
2022-05-01,234.13914489746094,236.52499688023192,211.97942216899165,232.88586681067153,65038300
2022-06-01,229.19107055664062,235.26247380127973,215.53503474990566,235.0489572508278,60826300
2022-07-01,245.85458374023438,246.76941913367907,229.63977947900537,229.9665084400933,48678500
2022-08-01,235.50213623046875,250.14867622686768,235.42745491523613,245.07980480999012,48194300
2022-09-01,216.5736846923828,245.3512980366346,216.42350448157265,236.35947632446695,59809100
2022-10-01,255.92002868652344,257.9380235969394,217.48415891115914,219.18303157637,68886100
2022-11-01,256.0420227050781,264.37683827971773,249.98801002048683,256.8867613335464,68987800
2022-12-01,248.7435760498047,264.1950659910969,246.73308375667472,257.83325032986255,53148200
2023-01-01,252.396484375,259.93819415027,244.94919827979405,248.74363028217354,54160400
2023-02-01,249.10231018066406,255.30368178331904,245.59103404450644,252.0377977520034,54146200
2023-03-01,265.4451599121094,266.42300872204856,247.17985269123275,249.23993491831106,61783200
2023-04-01,280.7676086425781,281.175818330872,265.51169139054224,266.75532581777463,50749900
2023-05-01,270.6665344238281,283.71997007862825,268.99571436068896,280.73905511068165,51918700
2023-06-01,283.2928161621094,283.9478636886194,265.8154470424764,270.48621693086284,53050500
2023-07-01,279.82427978515625,285.69371205363683,276.2930614770965,284.204881306277,46827900
2023-08-01,268.3240051269531,280.50190660338757,265.966684712244,279.63341706898166,51981100
2023-09-01,252.773681640625,274.03645744889275,251.15210505720194,271.10035495295875,50636100
2023-10-01,251.55508422851562,253.01353082719973,235.78070186029385,251.39195442745816,78818300
2023-11-01,270.42864990234375,272.4052407546398,249.30979770749943,252.35146128461204,60944800
2023-12-01,286.20941162109375,286.53759666920706,273.1687323230452,273.4100474576062,59249200
2024-01-01,282.5510559082031,291.8851379431126,277.2228285308101,284.8000999212537,63823500
2024-02-01,282.1263427734375,288.3619174661316,271.7594542456506,281.56650463475404,66470300
2024-03-01,273.7036437988281,287.6921594432446,269.0634486344213,282.8675485827212,64264100
2024-04-01,265.05426025390625,273.31534355223926,254.94872357961006,273.26681777919356,80446300
2024-05-01,251.31808471679688,268.6459900923334,241.8726538890454,263.44277182802904,76371000
2024-06-01,247.38653564453125,255.39524286630234,242.05711450059286,250.38615697622953,73964000
2024-07-01,259.3103942871094,261.5283282480177,237.94220594002527,248.98293056016126,90738300
2024-08-01,282.03668212890625,285.5052152336831,256.37920990203355,260.69780584989,75093700
2024-09-01,297.5230407714844,299.91680773711414,277.2002779807978,279.78946788202546,54828200
2024-10-01,287.06829833984375,312.4131829327153,284.837488315939,299.25430390768935,98391200
2024-11-01,290.9010314941406,298.5663955688653,278.56761994937875,289.42692071124276,60925300
2024-12-01,284.88665771484375,298.5565516670537,283.5992400692728,288.4343365214195,62467100
